DATE,LNS11027662
1992-01-01,27632
1992-02-01,27712
1992-03-01,27768
1992-04-01,27983
1992-05-01,28110
1992-06-01,28250
1992-07-01,28284
1992-08-01,28313
1992-09-01,28356
1992-10-01,28436
1992-11-01,28501
1992-12-01,28676
1993-01-01,28706
1993-02-01,28753
1993-03-01,28793
1993-04-01,28703
1993-05-01,28774
1993-06-01,28984
1993-07-01,28773
1993-08-01,28976
1993-09-01,29071
1993-10-01,29166
1993-11-01,29449
1993-12-01,29475
1994-01-01,29581
1994-02-01,29531
1994-03-01,29569
1994-04-01,29983
1994-05-01,30101
1994-06-01,29874
1994-07-01,30037
1994-08-01,30131
1994-09-01,30519
1994-10-01,30245
1994-11-01,30249
1994-12-01,30491
1995-01-01,30520
1995-02-01,30832
1995-03-01,30977
1995-04-01,31082
1995-05-01,31043
1995-06-01,31076
1995-07-01,31261
1995-08-01,31164
1995-09-01,31322
1995-10-01,31613
1995-11-01,31646
1995-12-01,31521
1996-01-01,31787
1996-02-01,31904
1996-03-01,31907
1996-04-01,31781
1996-05-01,32098
1996-06-01,32232
1996-07-01,32243
1996-08-01,32244
1996-09-01,32207
1996-10-01,32384
1996-11-01,32820
1996-12-01,32559
1997-01-01,32569
1997-02-01,32646
1997-03-01,32906
1997-04-01,33144
1997-05-01,33015
1997-06-01,33007
1997-07-01,33029
1997-08-01,33194
1997-09-01,33538
1997-10-01,33480
1997-11-01,33616
1997-12-01,33698
1998-01-01,33708
1998-02-01,33723
1998-03-01,33885
1998-04-01,33916
1998-05-01,33928
1998-06-01,34201
1998-07-01,34544
1998-08-01,34731
1998-09-01,34968
1998-10-01,34858
1998-11-01,34776
1998-12-01,34928
1999-01-01,34964
1999-02-01,34987
1999-03-01,35064
1999-04-01,35304
1999-05-01,35596
1999-06-01,35764
1999-07-01,35901
1999-08-01,36159
1999-09-01,35856
1999-10-01,35857
1999-11-01,35307
1999-12-01,35906
2000-01-01,36585
2000-02-01,36501
2000-03-01,36429
2000-04-01,36496
2000-05-01,36494
2000-06-01,36561
2000-07-01,36593
2000-08-01,36660
2000-09-01,36739
2000-10-01,36615
2000-11-01,36805
2000-12-01,37120
2001-01-01,37075
2001-02-01,37032
2001-03-01,37124
2001-04-01,37047
2001-05-01,37139
2001-06-01,37141
2001-07-01,37367
2001-08-01,37376
2001-09-01,37521
2001-10-01,37784
2001-11-01,37955
2001-12-01,37757
2002-01-01,37730
2002-02-01,38372
2002-03-01,38426
2002-04-01,38821
2002-05-01,38897
2002-06-01,38713
2002-07-01,38648
2002-08-01,38700
2002-09-01,38655
2002-10-01,38494
2002-11-01,38218
2002-12-01,38500
2003-01-01,38797
2003-02-01,39242
2003-03-01,39558
2003-04-01,39485
2003-05-01,39667
2003-06-01,39978
2003-07-01,39827
2003-08-01,40046
2003-09-01,39788
2003-10-01,40424
2003-11-01,40320
2003-12-01,40270
2004-01-01,40287
2004-02-01,40074
2004-03-01,40488
2004-04-01,40205
2004-05-01,40127
2004-06-01,40173
2004-07-01,40083
2004-08-01,40153
2004-09-01,40445
2004-10-01,40703
2004-11-01,41032
2004-12-01,40846
2005-01-01,40776
2005-02-01,40611
2005-03-01,40547
2005-04-01,40875
2005-05-01,40988
2005-06-01,41001
2005-07-01,41205
2005-08-01,41337
2005-09-01,41565
2005-10-01,41650
2005-11-01,41494
2005-12-01,42054
2006-01-01,41815
2006-02-01,41725
2006-03-01,41882
2006-04-01,42025
2006-05-01,42234
2006-06-01,42421
2006-07-01,42644
2006-08-01,42537
2006-09-01,42893
2006-10-01,42918
2006-11-01,43349
2006-12-01,43654
2007-01-01,43650
2007-02-01,43794
2007-03-01,43559
2007-04-01,43462
2007-05-01,44113
2007-06-01,44288
2007-07-01,44416
2007-08-01,44449
2007-09-01,44131
2007-10-01,44149
2007-11-01,44320
2007-12-01,44534
2008-01-01,44655
2008-02-01,45403
2008-03-01,45355
2008-04-01,45130
2008-05-01,44627
2008-06-01,44998
2008-07-01,45044
2008-08-01,45265
2008-09-01,45133
2008-10-01,45363
2008-11-01,45201
2008-12-01,45176
2009-01-01,45125
2009-02-01,45118
2009-03-01,45210
2009-04-01,45332
2009-05-01,45529
2009-06-01,45552
2009-07-01,45748
2009-08-01,45836
2009-09-01,45971
2009-10-01,46291
2009-11-01,45997
2009-12-01,45968
2010-01-01,45901
2010-02-01,45584
2010-03-01,45567
2010-04-01,45716
2010-05-01,45648
2010-06-01,46225
2010-07-01,46128
2010-08-01,45745
2010-09-01,46612
2010-10-01,46209
2010-11-01,46364
2010-12-01,46408
2011-01-01,46274
2011-02-01,46441
2011-03-01,46726
2011-04-01,46785
2011-05-01,46832
2011-06-01,46947
2011-07-01,46807
2011-08-01,46888
2011-09-01,47092
2011-10-01,47138
2011-11-01,47144
2011-12-01,47183
2012-01-01,47480
2012-02-01,47664
2012-03-01,48115
2012-04-01,47911
2012-05-01,48202
2012-06-01,47938
2012-07-01,47772
2012-08-01,48566
2012-09-01,48678
2012-10-01,48832
2012-11-01,48790
2012-12-01,48859
2013-01-01,48952
2013-02-01,49210
2013-03-01,49269
2013-04-01,49532
2013-05-01,49374
2013-06-01,49371
2013-07-01,49113
2013-08-01,49170
2013-09-01,49233
2013-10-01,49482
2013-11-01,49825
2013-12-01,49724
2014-01-01,50382
2014-02-01,50122
2014-03-01,49946
2014-04-01,50094
